Timestamp,Value
1765737112.76131,1
1765737112.7615323,1
1765737112.7616594,1
1765737112.7617736,1
1765737112.7619123,1
1765737112.762037,1
1765737112.7623153,1
1765737112.7625659,1
1765737112.762734,1
1765737112.7629654,1
1765737112.7632146,1
1765737112.7633977,1
1765737112.7635734,1
1765737112.7637246,1
1765737112.763864,1
1765737112.763977,1
1765737112.7640882,1
1765737112.7642183,1
1765737112.7643137,1
1765737112.7644057,1
1765737112.7646174,1
1765737112.7647347,1
1765737112.7648273,1
1765737112.7649195,1
1765737112.765047,1
1765737112.7651768,1
1765737112.765323,1
1765737112.7654445,1
1765737112.765577,1
1765737112.765705,1
1765737112.765802,1
1765737112.765941,1
1765737112.7660482,1
1765737112.766195,1
1765737112.7664459,1
1765737112.766624,1
1765737112.767067,1
1765737112.7672524,1
1765737112.7674491,1
1765737112.7676125,1
1765737112.7678869,1
1765737112.7680206,1
1765737112.7681546,1
1765737112.7682893,1
1765737112.7684865,1
1765737112.7686813,1
1765737112.7688065,1
1765737112.7689285,1
1765737112.7690835,1
1765737112.7692182,1
1765737112.769753,1
1765737112.7699246,1
1765737112.770067,1
1765737112.7702034,1
1765737112.7703605,1
1765737112.7705252,1
1765737112.7711935,1
1765737112.771505,1
1765737112.7717378,1
1765737112.7719114,1
1765737112.772255,1
1765737112.772463,1
1765737112.7726433,1
1765737112.7728114,1
1765737112.77295,1
1765737112.773098,1
1765737112.7733226,1
1765737112.7735465,1
1765737112.7738817,1
1765737112.7740607,1
1765737112.774215,1
1765737112.7743695,1
1765737112.7751267,1
1765737112.775389,1
1765737112.7756352,1
1765737112.7758157,1
1765737112.7759526,1
1765737112.7761123,1
1765737112.7762964,1
1765737112.776508,1
1765737112.7767947,1
1765737112.7769396,1
1765737112.7771232,1
1765737112.7772536,1
1765737112.7774167,1
1765737112.7775507,1
1765737112.7776783,1
1765737112.7777984,1
1765737112.7779381,1
1765737112.7781498,1
1765737112.7783103,1
1765737112.7784684,1
1765737112.7786202,1
1765737112.7790217,1
1765737112.7800114,1
1765737112.78024,1
1765737112.780683,1
1765737112.7810612,1
1765737112.7812912,1
1765737112.7815156,1
1765737112.7817538,1
1765737112.7818823,1
1765737112.782041,1
