Timestamp,Value
1765737351.3045382,1
1765737351.3046024,1
1765737351.3046522,1
1765737351.3089402,0
1765737351.3090205,0
1765737351.3090706,1
1765737351.3091598,1
1765737351.309218,1
1765737351.3092659,1
1765737351.3093143,1
1765737351.3093615,1
1765737351.309408,1
1765737351.3094554,0
1765737351.3095016,0
1765737351.3095496,1
1765737351.3095956,1
1765737351.3096423,0
1765737351.3097112,0
1765737351.3097608,1
1765737351.3098085,1
1765737351.3098927,1
1765737351.3099494,1
1765737351.3099983,1
1765737351.3143709,1
1765737351.3144698,0
1765737351.3145518,0
1765737351.3146038,0
1765737351.3146527,1
1765737351.3147,1
1765737351.3147469,1
1765737351.3147936,1
1765737351.3148406,1
1765737351.3148875,1
1765737351.3149345,1
1765737351.3149812,1
1765737351.3150272,1
1765737351.3150742,1
1765737351.3151205,1
1765737351.3151667,1
1765737351.3152144,1
1765737351.3152606,1
1765737351.315307,1
1765737351.3153653,1
1765737351.315414,1
1765737351.3198876,1
1765737351.319945,1
1765737351.3199918,1
1765737351.3200388,1
1765737351.3200881,1
1765737351.3201354,1
1765737351.3201828,1
1765737351.3202305,1
1765737351.3202891,1
1765737351.320358,1
1765737351.3204298,1
1765737351.3205,1
1765737351.3205721,1
1765737351.320641,1
1765737351.3207119,1
1765737351.3207817,1
1765737351.320853,1
1765737351.320924,1
1765737351.3210285,1
1765737351.3211017,1
1765737351.3211682,1
1765737351.3254642,1
1765737351.325543,1
1765737351.3255966,1
1765737351.3256485,1
1765737351.3256989,1
1765737351.3257465,1
1765737351.325797,1
1765737351.3258514,1
1765737351.3258991,1
1765737351.32596,1
1765737351.3260138,1
1765737351.3260648,1
1765737351.3261132,1
1765737351.326163,1
1765737351.3262131,1
1765737351.3262613,1
1765737351.3263097,1
1765737351.326373,1
1765737351.3264241,1
1765737351.3264735,1
1765737351.3309197,1
1765737351.331015,1
1765737351.3310928,1
1765737351.3311417,1
1765737351.33119,1
1765737351.3312373,1
1765737351.3312845,1
1765737351.3313315,1
1765737351.3313787,1
1765737351.3314252,1
1765737351.3314726,1
1765737351.3315196,1
1765737351.331566,1
1765737351.3316128,1
1765737351.3316596,1
1765737351.331706,1
1765737351.3317568,1
1765737351.3318048,1
1765737351.331866,1
1765737351.3319137,1
1765737351.331961,1
1765737351.3364668,1
1765737351.3365338,1
1765737351.3365874,1
1765737351.3366373,1
1765737351.3366835,1
1765737351.336732,1
1765737351.3367784,1
1765737351.3368263,1
1765737351.3368738,1
1765737351.3369415,1
1765737351.3370059,1
1765737351.3370535,1
1765737351.3371007,1
1765737351.3371484,1
1765737351.3371956,1
1765737351.3372657,1
1765737351.337315,1
1765737351.3373628,1
1765737351.3374093,1
1765737351.3374553,1
1765737351.3375032,1
1765737351.3420165,1
1765737351.3421106,1
1765737351.3421676,1
1765737351.3422182,1
1765737351.3422716,1
1765737351.3423383,1
1765737351.3423967,1
1765737351.3424466,1
1765737351.3424964,1
1765737351.342596,1
1765737351.3426554,1
1765737351.342709,1
1765737351.3427596,1
1765737351.3428235,1
1765737351.34289,1
1765737351.342957,1
1765737351.343024,1
1765737351.3430924,1
1765737351.3431578,1
1765737351.343223,1
1765737351.3474665,1
1765737351.347593,1
1765737351.347645,1
1765737351.3476932,1
1765737351.3477426,1
1765737351.347793,1
1765737351.3478413,1
1765737351.3478894,1
1765737351.3479376,1
1765737351.3479877,1
1765737351.3480358,1
1765737351.348086,1
1765737351.348136,1
1765737351.3481874,1
1765737351.34824,1
1765737351.348289,1
1765737351.3483424,1
1765737351.3484046,1
1765737351.348458,1
1765737351.3485067,1
1765737351.348605,1
1765737351.353021,1
1765737351.3530996,1
1765737351.3531635,1
1765737351.3532145,1
1765737351.3532622,1
1765737351.3533235,1
1765737351.3533728,1
1765737351.353452,1
1765737351.3535104,1
1765737351.3535597,1
1765737351.3536077,1
1765737351.353707,1
1765737351.3537726,1
1765737351.353858,1
